Document Title,Author Keywords,Abstract,Publication Year,Authors,Start Page,End Page,Pages count,Article Citation Count,DOI,Link,Document Identifier,Publisher
Automatic Machine Translation of Poetry and a Low-Resource Language Pair,automatic machine translation;statistical and neural machine translation;quality evaluation;automatic metrics;natural language processing;low-resource;Croatian,"Automatic machine translation is gaining more and more attention in a particular segment of the research community that treats various topics from artificial intelligence, natural language processing, computational linguistics, machine learning and data science. Machine translation is a complex task in which a computer is utilised for the purpose of translating from source to one or more target languages without human involvement, or with a minimum of interventions. In general, machine translation could be implemented in higher education and academic curricula in a variety of possible fields and applications. Although there are several approaches to machine translation, two are dominant today - statistical and neural machine translation. Both are being used in this research in form of two online machine translation systems. The aim of this paper is to examine the usability of machine translation for poetry and a low-resource language pair, such as Croatian-German. The authors chose to use a data set that contained the works of a relevant contemporary poet of the Croatian language and the translations of his poems in German that were conducted by two professional literary translators. The paper demonstrates the effectiveness of machine translation of poetry with regard to special automatic quality metrics.",2020,A. A. Deshmukh; R. Prasad,1034,1039,6,,10.23919/MIPRO48935.2020.9245342,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245342,IEEE Conferences,IEEE
Human Quality Evaluation of Machine-Translated Poetry,automatic machine translation;machine translation quality evaluation;human evaluation;domainspecific evaluation;natural language processing,"The quality of literary translation was from the beginning of literacy an important factor in publishing and, as a consequence, in research and education. The quality of literary text translation is of utmost significance for researchers and students, especially in higher education. Only complete and high-standard translations are believed to be necessary for the use in the evaluation and study of style and concepts of a given author or a literary genre. This quality verification applies even more to machine translation in general, due to the fact that such translations are deemed subpar and unsuitable for further dissemination and examination. The need for human quality evaluation of machine-translated text is therefore highly emphasised, since human translations are considered to be the “gold standard�? and reference translations in the machine translation process. The aim of this paper is to explore, on the example of a data set consisting of poems written by a relevant contemporary Croatian poet, the effectiveness of applying machine translation on the Croatian-German language pair in the domain of poetry, with regard to human judgment of machine translation quality. Human evaluation in this paper is conducted by taking into account two machine translation quality criteria - adequacy and fluency, after which an inter-rater agreement analysis is performed.",2020,A. A. Suryani; D. H. Widyantoro; A. Purwarianti; Y. Sudaryat,1040,1045,6,,10.23919/MIPRO48935.2020.9245436,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245436,IEEE Conferences,IEEE
A Summary and Comparative Study of Different Metrics for Machine Translation Evaluation,Machine Translation;MT Evaluation;Automatic Evaluation Metrics,"Assessment of the Translation done by machines has always been a major topic of interest for the Natural Language Researchers. Every day, a new translator is out there in the market claiming to be the best one. But to challenge such claims, one needs to have a powerful assessment tool that can judge the output of any translator on different parameters like fluency of the language, adequacy as well as the accuracy of the output generated. In this paper, we have discussed the major issues with the algorithms used for the evaluation of Machine translation. We have also presented a brief description and comparative study of different metrics used to evaluate the outcome of a machine translator over English to Hindi Language parallel sentences.",2018,A. A. Zhivotova; V. D. Berdonosov; E. V. Redkolis,55,60,6,1,10.1109/CONFLUENCE.2018.8442777,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8442777,IEEE Conferences,IEEE
Statistical machine translation of Croatian weather forecast: How much data do we need?,statistical machine translation;Croatian language;English language;automatic evaluation;manual evaluation,"This research is a first step towards a system for translating Croatian weather forecast into multiple languages. This steps deals with the Croatian-English language pair. The parallel corpus consists of a one-year sample of the weather forecasts for the Adriatic consisting of 7,893 sentence pairs. Evaluation is performed by best known automatic evaluation measures BLUE, NIST and METEOR, as well as by evaluating manually a sample of 200 translations. In this research we have shown that with a small-sized training set and the state-of-the art Moses system, decoding can be done with 96% accuracy concerning adequacy and fluency. Additional improvement is to be expected by increasing the training set size.",2010,Ö. Şahin; A. Kurtoğlu; G. Ercan,91,96,6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5546371,IEEE Conferences,IEEE
Syntax Rectification of Speech Using Neural Machine Translation,Automatic Speech Recognition;Neural Machine Translation;Sequence to Sequence;Deep Recurrent Neural Networks,Speech Recognition is the identification of speech and conversion of the audio signals into textual data. The process of Speech Recognition has been accelerated with advancements in computing and progress in the development of Deep Learning. The mathematics behind Speech Recognition stems from Hidden Markov Models and has evolved into its more advanced form - End to End Speech Recognition. The aim of this paper is to focus on the syntax correction of speech in English language which will make use of Sequence to Sequence Models. The paper will delineate three major domains of grammatical correction of speech which will be achieved through real time interaction with the user.,2018,A. Boni; A. Zorat,306,311,6,,10.1109/I-SMAC.2018.8653676,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653676,IEEE Conferences,IEEE
A hybrid approach for Hindi-English machine translation,Machine Translation;Hindi-English Machine Translation;Example Based Machine Translation;Statistical Based Machine Translation;Ruled Based Machine Translation;Hybrid Machine Translation,"In this paper, an extended combined approach of phrase based statistical machine translation (SMT), example based MT (EBMT) and rule based MT (RBMT) is proposed to develop a novel hybrid data driven MT system capable of outperforming the baseline SMT, EBMT and RBMT systems from which it is derived. In short, the proposed hybrid MT process is guided by the rule based MT after getting a set of partial candidate translations provided by EBMT and SMT subsystems. Previous works have shown that EBMT systems are capable of outperforming the phrase-based SMT systems and RBMT approach has the strength of generating structurally and morphologically more accurate results. This hybrid approach increases the fluency, accuracy and grammatical precision which improve the quality of a machine translation system. A comparison of the proposed hybrid machine translation (HTM) model with renowned translators i.e. Google, BING and Babylonian is also presented which shows that the proposed model works better on sentences with ambiguity as well as comprised of idioms than others.",2017,A. de Gispert; J. B. Marino,389,394,6,14,10.1109/ICOIN.2017.7899465,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899465,IEEE Conferences,IEEE
A web based Punjabi to Hindi Statistical Machine Translation System,Machine Translation (MT);Statistical Machine Translation (SMT);Natural Language Processing (NLP);Punjabi;Hindi;transliteration and translation,"Machine translation (MT) system translates one natural language into another language with the help of computers. MT is a key application in the field of natural language processing. In proposed system, Statistical Machine Translation (SMT) approach has been used for developing Punjabi to Hindi Machine Translation System. In SMT, every sentence in the target language i.e. Hindi is a translation of the source language i.e. Punjabi with some probability and the best translation will be of high probability which the system will attain in the form of sentence. The key activities involved during translation process are pre-processing, translation engine and post processing. Unigram algorithm, N-Gram string matching algorithm etc formed the basis for solving these issues. The accuracy of the system has been evaluated using subjective tests i.e. intelligibility test and accuracy test. A proposed system is found to perform better than the existing system.",2015,A. de Pierrefeu; T. Löfstedt; C. Laidi; F. Hadj-Selem; M. Leboyer; P. Ciuciu; J. Houenou; E. Duchesnay,1,6,6,1,10.1109/RAECS.2015.7453298,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7453298,IEEE Conferences,IEEE
Evaluating English to Arabic machine translators,Automatic Evaluation of Machine Translation;Arabic MT;English MT;statistical MT;BLEU,"Location and language have now less impact as barriers for the expansion and the spread of information around the world. Machine translators achieve such a tedious task of translation among languages in quick and reliable manners. However, if compared with human translation, issues related to semantic meanings may always arise. Different machine translators may differ in their effectiveness, and they can be evaluated either by humans or through the use of automatic methods. In this study, we attempt to evaluate the effectiveness of two popular Machine Translation (MT) systems (Google Translate and Babylon machine translation systems) to translate sentences from English to Arabic, where an automatic evaluation method called Bilingual Evaluation Understudy (BLEU) is used. Our preliminary tests indicated that Google Translate system is more effective in translating English sentences into Arabic in comparison with the Babylon MT system.",2013,A. Deniz; H. E. Kiziloz,1,6,6,3,10.1109/AEECT.2013.6716439,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6716439,IEEE Conferences,IEEE
Can we beat google translate?,automatic evaluation;BLEU;F-measure;Google Translate;NIST;PER;reference set;SMT (statistical machine translation);TER;translation evaluation;WER,"This paper presents a machine translation evaluation study for Croatian-English language pair. In-domain and out-of-domain translations from Croatian into English have been obtained from Google Translate, our own statistical machine translation system LegTran, and from a professional translator. These translations have been evaluated by six different automatic metrics. The gains obtained from increasing the number of reference translations have been explored and measured. System level correlation between automatic evaluation metrics is given and the significance of the results is discussed. Bootstrapping, approximate randomization and the sign test have been used for confidence intervals and hypothesis testing.",2012,A. Dubbaka; A. Gopalan,381,386,6,,10.2498/iti.2012.0411,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6308037,IEEE Conferences,IEEE
Automatic Machine Translation for Bangla and English Resolving Ambiguities,Ambiguities;bilingual;dialect;machine translation approaches;natural language;Stanford POS tagger,"The strategic borderless knowledge sharing and development of communication interacts with dialects. Significant factors such as education, medical, business, research and others are vastly diffused over the world based on various lingoes. Bilingual or multilingual expression is the standard of having unknown/new linguistic along with its resources. The initial endeavor of the study is to implement the MT (machine translation) approaches for English to Bangla language processing and vice-versa. The emphasis of the study is the distinct ambiguities are identified along with their best solutions. Certain machine translation approaches such as word-to-word, direct, transfer, interlingua, corpus-based and statistical translation are surviving and, few of them are deployed in this Smart Natural Language Processing (SNLP) for dispatching the source to the target language and vice-versa. Two different dictionaries (bilingual and monolingual) are developed for the execution process. An eminent resource Stanford POS Tagger (as a toolkit) is used for identifying the grammatical structure of the source (English) dialect. This research also focuses on output acquiring through performance analyzing of different translation models.",2021,A. Gorthi; R. Jain; N. Dimitrova,27,32,6,,10.1109/ICREST51555.2021.9331085,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9331085,IEEE Conferences,IEEE
