Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Encoding-Decoding Methods for Neural Machine Translation,M. Singh; R. Kumar; I. Chana,"CSED, Thapar Institute of Engineering and Technology,Patiala,Punjab,India; CSED, Thapar Institute of Engineering and Technology,Patiala,Punjab,India; CSED, Thapar Institute of Engineering and Technology,Patiala,Punjab,India","2019 2nd International Conference on Intelligent Computing, Instrumentation and Control Technologies (ICICICT)",13-Feb-20,2019,1,,1454,1459,"Deep Learning techniques have significant progress in the last few years. Different designs and methods of the model have experimented to enhance the performance in various domains of Natural Language Processing (NLP). Machine Translation is a domain of NLP. In this paper, we have reviewed different Encoding-Decoding methods for Neural Machine Translation(NMT). We also, compare these various methods and put forward a past, present and future of Neural Machine Translation.",,978-1-7281-0283-2,10.1109/ICICICT46008.2019.8993143,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993143,Neural Machine Translation;Encoding;Decoding;Natural Language Processing,,decoding;encoding;language translation;learning (artificial intelligence);natural language processing,deep learning techniques;natural language processing;NLP;encoding-decoding methods;neural machine translation;NMT,,,,22,,13-Feb-20,,,IEEE,IEEE Conferences
Approaches to the Reduction of Ambiguity in Machine Translation,L. E. Dostert,"Director, Institute of Languages and Linguistics, Georgetown University, Washington, D.C.",Journal of the SMPTE,19-Oct-15,1959,68,4,234,235,Four basic approaches to the resolution of transfer-ambiguity are reviewed: (1) preparation of microglossaries; (2) formulation of linguistic operations to effect structural parallelism between the languages involved; (3) establishment of categories based on semantic functioning; (4) establishment of idiom classes. Structural analysis involved in a French-English translation is examined in detail.,0361-4573,,10.5594/J11060,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7265481,,,,,,,,,,19-Oct-15,,,SMPTE,SMPTE Journals
Machine Translation System for Hindi-Dogri Language Pair,P. Dubey; Devanand,"Dept. of Comput. Sci. & IT, Univ. of Jammu, Jammu, India; Dept. of Comput. Sci. & IT, Univ. of Jammu, Jammu, India",2013 International Conference on Machine Intelligence and Research Advancement,09-Oct-14,2013,,,422,425,"The rise and dominance of Information Technology in urban areas has created a gap between urban and rural India, and this gap is referred as the Digital Divide. The need of the hour is to bridge this gap. The various factors responsible for this divide as studied in the literature review of Digital Divide are: the language barrier, cost factor, technology awareness, lack of resources etc. To study the factors responsible for the digital divide in Jammu region, a pilot survey was conducted which revealed many factors to be same as those found in the literature survey, language being one of the major factors responsible for this divide. Many initiatives have been taken by the government to bridge this divide i.e. costs of computing have been cut down, computer facilities have been provided and a lot of work has been done even in the language field. In today's time, the web supports multilingualism. English is not the only language supported by computers today. In the state of Jammu and Kashmir, languages are majorly spoken arey: Urdu, Kashmiri, Hindi and Dogri. Machine Translation systems for translating Hindi and English text to Urdu are available, Kashmir University is working on the development of translation tools for Dogri, but no work of translation is done for the Dogri language. This paper discusses the various phases in the development of Machine Translation System for the Hindi-Dogri language pair. The organization of the paper is as follows: The section I gives a brief introduction to Machine Translation and the various approaches of machine translation, section II, explains in brief the phases in the translation of Hindi language to Dogri language. For the transliteration of Hindi text IAST is used.",,978-0-7695-5013-8,10.1109/ICMIRA.2013.89,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918866,Digital Divide;morphological analyzer;Ambiguity,Machine intelligence,Digital Divide;language translation;natural language processing,machine translation system;Hindi-Dogri language pair;Hindi text transliteration;IAST;Digital Divide,,3,,18,,09-Oct-14,,,IEEE,IEEE Conferences
Empirical survey of machine translation tools,S. Chand,"Department of Computer Science, Hansraj College, University of Delhi",2016 Second International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN),16-Jan-17,2016,,,181,185,"Machine Translation (MT) has progressively evolved since 1940's. It is a topic of active research now a days as the results found so far from machine translation tools are very unrealistic as compared to the human translation. Many different new approaches and techniques have evolved along with the new advent in machine translation. There are different paradigm of machine translation including Statistics Based Machine Translation (SBMT), Rule Based Machine Translation(RBMT), Hybrid machine translation(HMT). Besides these, Neural Network Based Systems have been developed for machine translation [1]. We have not yet imparted the human kind of translation capabilities to the machine. Various online MT tools when tested on various input paragraphs from literature, though performed remarkably good but could hardly translate the sentences comparable to us, the humans. This paper provides a comparative study based on the translation of paragraphs by various online machine translation tools. The tools tested for this research involves rule based systems(Angla Bharti and Anubaad), and statistical systems (Bing, Google translator, IM translate that is supported by Microsoft Translator, Google Translate, Babylon Translator and other MT engines). The results shows that though statistical MT systems outperform the rule based machine translation, but as of yet human mankind is far from achieving its dream of creating a “perfect” automatic translation tool.",,978-1-5090-1047-9,10.1109/ICRCICN.2016.7813653,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7813653,Machine Translation;Rule based;Statistical Machine Translation;Anglabharti,Google;Measurement;Natural languages;Context;Internet;NIST;Knowledge based systems,knowledge based systems;language translation;neural nets,automatic translation tool;statistical MT systems;rule based systems;online machine translation tools;neural network based systems;HMT;hybrid machine translation;RBMT;rule based machine translation;SBMT;statistics based machine translation,,10,,20,,16-Jan-17,,,IEEE,IEEE Conferences
Trends and challenges in language modeling for speech recognition and machine translation,H. Schwenk,"University of Le Mans, France",2009 IEEE Workshop on Automatic Speech Recognition & Understanding,08-Jan-10,2009,,,23,23,"Summary form only given. Language models play an important role in large vocabulary continuous speech recognition (LVCSR) systems and statistical approaches to machine translation (SMT), in particular when modeling morphologically rich languages. Despite intensive research over more than 20 years, state-of-the-art LVCSR and SMT systems seem to use only one dominant approach: n-gram back-off language models. This talk first reviews the most important approaches to language modeling. I then discuss some of the recent trends and challenges for the future. An interesting alternative to the back-off n-gram approach are the so-called continuous space methods. The basic idea is to perform the probability estimation in a continuous space. By these means better probability estimations of unseen word sequences can be expected. There is also a relative large body of works on adaptive language models. The adaptation can aim to tailor a language model to a particular task or domain, or it can be performed over time. Another very active research area are discriminative language models. Finally, I will review the challenges and benefits of language models trained an very large amounts of training material.",,978-1-4244-5478-5,10.1109/ASRU.2009.5373531,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5373531,,Natural languages;Speech recognition;Surface-mount technology;Vocabulary,estimation theory;language translation;speech recognition,large vocabulary continuous speech recognition;machine translation statistical approach;morphologically rich languages;continuous space methods;discriminative language models;adaptive language models;n-gram back-off language models;probability estimation;word sequences,,,,,,08-Jan-10,,,IEEE,IEEE Conferences
Statistical machine translation,A. R. Babhulgaonkar; S. V. Bharad,"Department of Info. Tech., Dr. B.A. Tech. Uni., Raigad, Maharashtra, India; Department of Info. Tech., Dr. B.A. Tech. Uni., Raigad, Maharashtra, India",2017 1st International Conference on Intelligent Systems and Information Management (ICISIM),30-Nov-17,2017,,,62,67,"Translation of natural language text using statistical machine translation (SMT) is a supervised machine learning problem. SMT algorithms are trained to learn how to translate by providing many translations produced by human language experts. The field SMT has gained momentum in recent three decades. New techniques are constantly introduced by the researchers. This is survey paper presenting an introduction of the recent developments in the field. The paper also describes the recent research for word alignment and language modelling problems in the translation process. An overview of these two sub problems is enlisted. Along the way, some challenges in machine translation are presented.",,978-1-5090-4264-7,10.1109/ICISIM.2017.8122149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122149,Machine Translation (MT);Phrase Based Statistical Machine Translation (PBSMT);language modeling;word alignment,Mathematical model;Decoding;Training;Tools;Probability;Natural languages,language translation;learning (artificial intelligence);natural language processing;statistical analysis,human language experts;field SMT;word alignment;language modelling problems;translation process;statistical machine translation;natural language text;supervised machine learning problem;SMT algorithms,,1,,24,,30-Nov-17,,,IEEE,IEEE Conferences
A Comparative Study and Analysis of Evaluation Matrices in Machine Translation,M. B. Shukla; B. Chavada,"Marwadi Education Foundation,Rajkot,India; Marwadi Education Foundation,Rajkot,India",2019 6th International Conference on Computing for Sustainable Global Development (INDIACom),13-Feb-20,2019,,,1236,1239,"Machine translation is a process of translating one natural language to another without much human interaction. Evaluation of any Machine Translation System (MTS) is the most important factor in a machine learning environment. There are many techniques existing to determine and optimize the quality of output in any MTS. Earlier methods are based on human judgments. Even though human evaluation methods are very much reliable, they suffer due to some disadvantages such as high cost, more time consuming and also poor re-usability. Hence, automatic methods have been proposed to reduce time and cost. In this survey, we have discussed different metrics under the automatic evaluation techniques in order to evaluate the output quality of MTS. It is believed that machine learning system developers at large would get befitted by this survey.",,978-9-3805-4434-2,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991227,machine translation;automatic evaluation;human evaluation;performance matrices,,language translation;learning (artificial intelligence),evaluation matrices;natural language;human interaction;machine learning environment;human judgments;human evaluation methods;automatic evaluation techniques;output quality;machine translation system,,,,12,,13-Feb-20,,,IEEE,IEEE Conferences
Multilingual machine translation : An analytical study,M. M. Phadke; S. R. Devane,"Datta Meghe College of Engineering, Airoli, Navi Mumbai; Datta Meghe College of Engineering, Airoli, Navi Mumbai",2017 International Conference on Intelligent Computing and Control Systems (ICICCS),11-Jan-18,2017,,,881,884,"Multilingual Machine Translation is a computerized system that is designed to translate source text from various natural languages into target text of another natural languages. Due to increased need of global communication, multilingual machine translation is the propel for researchers. With the advancement in technology, now we have computerized systems that can replace the human experts in particular domains. One such popularly adopted domain by researchers is artificial intelligence (AI). AI gives birth to several applications where system can be used to work like a human expert. Natural language processing (NLP) is the application that is being studied from decades back to overcome the communication barriers that are mainly there due to the diversity in the regional languages. Machine translation (MT) system is available mostly for a specific language pair. Recently many MT systems are being designed for bilingual pairs. And the research is heading towards developing MT systems that are capable of handling more than two language pairs i.e. multilingual. MT systems still has so many issues to deal with. Recently developed multilingual systems are laden with the enormous size corpus. In this paper we present the analytical survey of multilingual machine translation system.",,978-1-5386-2745-7,10.1109/ICCONS.2017.8250590,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250590,multilingual;natural language;artificial intelligence;corpus,Google;Training;Natural languages;Artificial intelligence;Decoding;Semantics;Control systems,artificial intelligence;language translation;natural language processing,computerized system;natural language processing;regional languages;MT systems;multilingual machine translation system;language pairs;artificial intelligence;bilingual pairs,,1,,12,,11-Jan-18,,,IEEE,IEEE Conferences
A Survey of Machine Translation Techniques and Systems for Indian Languages,S. Saini; V. Sahula,"Dept. of Electron. & Commun. Eng., Malviya Nat. Inst. of Technol., Jaipur, India; Dept. of Electron. & Commun. Eng., Malviya Nat. Inst. of Technol., Jaipur, India",2015 IEEE International Conference on Computational Intelligence & Communication Technology,02-Apr-15,2015,,,676,681,"Machine Translation pertains to translation of one natural language to other by using automated computing. The main objective is to fill the language gap between two different languages speaking people, communities or countries. In India, we have multiple and hugely diverse languages and scripts, hence scope and need of language translation is immense. In this paper, we focus on the current scenario of research in machine translation in India. We have reviewed various important Machine Translation Systems (MTS) and presented preliminary comparison of the core methodology as used by them.",,978-1-4799-6023-1,10.1109/CICT.2015.123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7078789,Natural language processing;Learning systems;Statistical Machine Translation,Pragmatics;Dictionaries;Grammar;Natural languages;Government;Training;Probability,language translation;natural language processing,machine translation technique;machine translation system;Indian languages;natural language translation;automated computing;MTS,,19,,29,,02-Apr-15,,,IEEE,IEEE Conferences
A Neural Machine Translation Approach for Translating Malay Parliament Hansard to English Text,Y. -Z. Low; L. -K. Soon; S. Sapai,"Monash University,School of Information Technology,Malaysia; Monash University,School of Information Technology,Malaysia; Monash University,School of Information Technology,Malaysia",2020 International Conference on Asian Language Processing (IALP),07-Jan-21,2020,,,316,320,"Parliament Hansard is one of the most precious texts made available to the public. In Malaysia, the parliament Hansard records the debate and discussions in Malay language. Topic modelling, sentiment analysis, relation extractions, trend prediction or temporal analyses are frequently applied on parliament Hansard to discover interesting patterns. However, most of the matured tools for such processing tasks work on English text. As such, before the Malaysian parliament Hansard can be further processed, it is essential to translate the Malay text into English. Several machine translation approaches have been surveyed in this paper. From the literature review, neural machine translation, particularly the Transformer Model has been proven to provide promising results in translating different languages. In this paper, we present our implementation of neural machine translation for Malay to English text. The experimental design shows that with a good set of parallel corpus and minimal fine-tuning, neural MT can achieve as high as 35.42 in BLEU score.",,978-1-7281-7689-5,10.1109/IALP51396.2020.9310470,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310470,Machine translation;neural machine translation;parliament hansard,Training;Linguistics;Graphics processing units;Computational modeling;Information technology;Bibliographies;Solid modeling,language translation;natural language processing;statistical analysis;text analysis,Malay text;machine translation approaches;english text;neural machine translation approach;Malay parliament;precious texts;Malay language;Malaysian parliament Hansard,,,,25,,07-Jan-21,,,IEEE,IEEE Conferences
