Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Davidson J.T., Fortune R.L.","57205740672;57205745017;","Automatic translation of printed code to impulses acceptable to computing equipment",1955,"Proceedings of the Western Joint Computer Conference, AFIPS 1955",,,,"29","33",,,"10.1145/1455292.1455298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061355084&doi=10.1145%2f1455292.1455298&partnerID=40&md5=a0d5afe5023c409f22a852edf1cedc62","Standard Register Co., Dayton, OH, United States","Davidson, J.T., Standard Register Co., Dayton, OH, United States; Fortune, R.L., Standard Register Co., Dayton, OH, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-85061355084
"Zarechnak M.","16470969000;","Structural analysis in machine translation",1958,"Preprints of Papers Presented at the 13th National Meeting of the Association for Computing Machinery, ACM 1958",,,,"61 - 1","61 - 2",,,"10.1145/610937.610992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061504460&doi=10.1145%2f610937.610992&partnerID=40&md5=3656ff2b0892d872ec86a78386d4416d","Institute of Languages end Linguistics, Georgetown University, United States","Zarechnak, M., Institute of Languages end Linguistics, Georgetown University, United States","One of the research units of the current Georgetown University project in Machine Translation has developed a general analysis technique for solving the MT problem, based on the concept of structural transfer from the source to the target language. At the present time the research is being applied to Russian-English MT. © 1958 Association for Computing Machinery, Inc. All rights reserved.",,"Computational linguistics; Machinery; Analysis techniques; Machine translations; Target language; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-85061504460
"Giuliano V.E.","56891833500;","The trial translator, an automatic programming system for experimental Russian-English machine translation",1958,"Proceedings of the Eastern Joint Computer Conference: Modern Computers: Objectives, Designs, Applications, IRE-AIEE-ACM 1959",,,,"138","144",,,"10.1145/1458043.1458072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061527126&doi=10.1145%2f1458043.1458072&partnerID=40&md5=49268e711c670a4412cd2389c6a918a3","Computation Laboratory of Harvard University, Cambridge, MA, United States","Giuliano, V.E., Computation Laboratory of Harvard University, Cambridge, MA, United States","Grammatical and syntactic rules designed for the production of ""smooth"" automatic translations between human languages will be called translation algorithms. Because of the rigid constraints imposed by automatic machines, the formulation of translation algorithms involves unprecedented problems of a linguistic nature. Much of the existing literature in the field of machine translation consists of theoretical treatments of these problems, or of appropriately simplified abstractions from these problems. Several specific algorithms for the machine translation of Russian to English have been proposed, but none have been tested on a large scale. These rules are apparently based on the intuition and linguistic backgrounds of the individual writers, sometimes aided by the manual analysis of short text samples. Until very recently the use of automatic machines has been confined to the application of ad-hoc computer programs, tailored to the processing of particular sentences or carefully selected texts. © 1958 Association for Computing Machinery, Inc. All rights reserved.",,"Application programs; Automatic programming; Computational linguistics; Computer aided language translation; Syntactics; Automatic machines; Automatic programming systems; Automatic translation; Linguistic backgrounds; Machine translations; Rigid constraint; Theoretical treatments; Translation algorithms; Program translators",Conference Paper,"Final","",Scopus,2-s2.0-85061527126
"Zarechnak M.","16470969000;","Three Levels of Linguistic Analysis in Machine Translation",1959,"Journal of the ACM (JACM)","6","1",,"24","32",,,"10.1145/320954.320956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945710291&doi=10.1145%2f320954.320956&partnerID=40&md5=4bb845a0fc1e1550d78c0635209d20ec","Georgetown University, Washington, D.C., United States","Zarechnak, M., Georgetown University, Washington, D.C., United States",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-84945710291
"Sheridan P.B.","7102603321;","The arithmetic translator-compiler of the IBM FORTRAN automatic coding system",1959,"Communications of the ACM","2","2",,"9","21",,21,"10.1145/368280.368289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3643130769&doi=10.1145%2f368280.368289&partnerID=40&md5=11ac66ae55f403dcec58ee67e41a7cb9","IBM Corp., New York, NY, United States","Sheridan, P.B., IBM Corp., New York, NY, United States",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-3643130769
"Samson R.F.","57205767483;","The role of USAF research and development in information retrieval and machine translation",1959,"Proceedings of the Western Joint Computer Conference, IRE-AIEE-ACM 1959",,,,"66","69",,1,"10.1145/1457838.1457849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870515581&doi=10.1145%2f1457838.1457849&partnerID=40&md5=ded609c4e0534f6d331cbf6e41e58a1d","Rome Air Dev. Center, Griffiss AFB, Rome, NY, United States","Samson, R.F., Rome Air Dev. Center, Griffiss AFB, Rome, NY, United States","The United States Air Force has numerous and varied types of data handling problems. This paper reviews some of the developmental approaches and contributions that the Air Force has made toward the solution of semantic-graphic information handling problems. Some of the interesting problems encountered in development of techniques and equipment in this field are presented. © 1959 Association for Computing Machinery, Inc. All rights reserved.",,"Military aviation; Semantics; Air force; Graphic information; Machine translations; Research and development; United States Air Force; Data handling",Conference Paper,"Final","",Scopus,2-s2.0-84870515581
"Richmond D.E.","57189038741;","An automatic formula translator for fixed-point arithmetic",1959,"Preprints of Papers Presented at the 14th National Meeting of the Association for Computing Machinery, ACM 1959",,,,"","",,,"10.1145/612288.612291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088354068&doi=10.1145%2f612288.612291&partnerID=40&md5=dcee531fded87d00df1ac0c5b45ecef1","Texas Instruments Inc., United States","Richmond, D.E., Texas Instruments Inc., United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-85088354068
"Alt F.L.","56931554700;","The outlook for machine translation",1960,"Proceedings of the Western Joint Computer Conference, IRE-AIEE-ACM 1960",,,,"203","208",,,"10.1145/1460361.1460389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061388074&doi=10.1145%2f1460361.1460389&partnerID=40&md5=5410b107f78cfb6c79c4fb26c999cc17","National Bureau of Standards, Washington, DC, United States","Alt, F.L., National Bureau of Standards, Washington, DC, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-85061388074
"Bar-Hillel Y.","16545001100;","The Present Status of Automatic Translation of Languages",1960,"Advances in Computers","1","C",,"91","163",,102,"10.1016/S0065-2458(08)60607-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003845417&doi=10.1016%2fS0065-2458%2808%2960607-5&partnerID=40&md5=8b6ee549dc80dc7b9487cfb42d9a7c01","Hebrew University Jerusalem, Israel","Bar-Hillel, Y., Hebrew University Jerusalem, Israel",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-0003845417
"Bratman H.","56772028400;","Automatic coding",1961,"Communications of the ACM","4","3",,"140","",,,"10.1145/366199.366242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945709925&doi=10.1145%2f366199.366242&partnerID=40&md5=9e4a5ab160c3f426661685c8916f8ca1","Research Directorate, System Development Corp., Santa Monica, CA, United States","Bratman, H., Research Directorate, System Development Corp., Santa Monica, CA, United States","SDC is currently engaged in producing a 舠JOVIAL舡 compiler for each of its computers. The compilers are being produced by a bootstrapping method similar to that described in a report on UNCOL [1]. In discussing the steps involved, we resorted to diagrams to clear up the confusion that arose when trying to describe, for example, how a JOVIAL generator for the IBM 709 could produce a JOVIAL translator to the Philco S-2000 that would run on the 709 and then use the resulting 709 - S-2000 translator to produce a JOVIAL translator to the S-2000 that would run on the S-2000. © 1961, ACM. All rights reserved.","automatic coding; automatic programming; compiler design; data processing; design of computer languages; information processing; machine independent programs; translation of computer languages",,Article,"Final","",Scopus,2-s2.0-84945709925
