"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"ASR Normalization for Machine Translation","H. Huang; C. Feng; J. Wang; X. Zhang","Sch. of Comput. Sci. & Technol., Beijing Inst. of Technol., Beijing, China; Sch. of Comput. Sci. & Technol., Beijing Inst. of Technol., Beijing, China; Res. Center of Comput. & Language Inf. Eng., CAS, Beijing, China; Res. Center of Comput. & Language Inf. Eng., CAS, Beijing, China","2010 Second International Conference on Intelligent Human-Machine Systems and Cybernetics","30 Sep 2010","2010","2","","91","94","In natural spoken language there are many meaningless modal particles and dittographes, furthermore ASR (automatic speech recognition) often has some recognition errors and the ASR results have no punctuations. Therefore, the translation would be rather poor if the ASR results are directly translated by MT (machine translation). In this paper, an ASR normalization approach was introduced for machine translation which based on maximum entropy sequential labeling model. Before translation, the meaningless modal particles and dittograph were deleted, and the recognition errors were corrected, and ASR results were also punctuated. Experiments show that the MT BLEU of 0.2465 is obtained, that improved by 17.3% over the MT baseline without normalization. The positive experimental results confirm that ASR normalization is effective for improvement of translation quality for spoken language machine translation.","","978-1-4244-7869-9","10.1109/IHMSC.2010.122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5590723","Spoken language;machine translation;automatic speech recognition;maximum entropy model;normalization","Speech recognition;Entropy;Labeling;Computational modeling;Decoding;Acoustics;Natural language processing","language translation;maximum entropy methods;speech recognition","ASR normalization approach;automatic speech recognition;maximum entropy sequential labeling model;translation quality;spoken language machine translation","","","1","13","","30 Sep 2010","","","IEEE","IEEE Conferences"
"Using Example-Based Machine Translation Method For Automatic Image Annotation","Linsen Yu; Yongmei Liu; Tianwen Zhang","School of computer science and technology, Harbin Institute of Technology, Harbin, Heilongjiang province, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol.; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol.","2006 6th World Congress on Intelligent Control and Automation","23 Oct 2006","2006","2","","9809","9812","The paper proposes that the image annotation task can be thought of as similar to the machine translation problem and apply the example-based machine translation method to this problem. The method is based on the idea of performing automatic annotation by imitating annotation examples of images with similar visual scene. It can make full use of both correlation of annotation words and context of image regions in same image. Given an input image, the most visual similar images are retrieved from the annotated images. The annotation words of the retrieved images can be used as the annotation of the input image. From this view, we can say traditional techniques of content-based image retrieval (CBIR) are more apt to the task of automatic image annotation. As an example-based machine translation method, the judgment of visual similarity between images plays an import role. Earth mover's distance (EMD) is chosen as similarity measure for visual features. In order to make the EMD favor the similar regions between images, an enhanced EMD is presented. The approach does not rely on clustering and consequently does not suffer from the granularity issues. Experiment results show that the proposed mechanism outperforms the state-of-the-art techniques in annotating a large image collection using the same data set and same feature representations","","1-4244-0332-4","10.1109/WCICA.2006.1713911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1713911","image annotation;example-based machine translation;image retrieval","Image retrieval;Paper technology;Information retrieval;Computer science;Content based retrieval;Earth;Humans;Training data;Layout;Feature extraction","content-based retrieval;feature extraction;image matching;image retrieval;image segmentation;language translation;learning by example","example-based machine translation;automatic image annotation;image regions;content-based image retrieval;image visual similarity;Earth mover distance;similarity measure;visual features","","2","","11","","23 Oct 2006","","","IEEE","IEEE Conferences"
"Classification techniques for automatic speech recognition (ASR) algorithms used with real time speech translation","H. H. O. Nasereddin; A. A. R. Omari","Faculty of Information Technology, Middle East University (MEU), Amman, Jordan; iHorizons, Middle East University (MEU), Amman, Jordan","2017 Computing Conference","11 Jan 2018","2017","","","200","207","Speech processing is considered to be one of the most important application area of digital signal processing. Speech recognition and translation systems have consisted into two main systems, the first system represents an ASR system that contains two levels which are level one the feature extraction level As well as, level two the classification technique level using Data Time Wrapping (DTW), Hidden Markov Model (HMM), and Dynamic Bayesian Network (DBN). The second system is the Machine Translation (MT) system that mainly can be achieved by using three approaches which are (A) the statistical-based approach, (B) rule-approach, and (C) hybrid-based approach. In this study, we made a comparative study between classification techniques from ASR point of view, as well as, the translation approaches from MT point of view. The recognition rate was used in the ASR level and the error rate was used to evaluate the accuracy of the translated sentences. Furthermore, we classified the sample text audio files into four categories which were news, conversational, scientific phrases, and control categories.","","978-1-5090-5443-5","10.1109/SAI.2017.8252104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252104","AF (Acoustic Feature);AM (Acoustic Model);ANN (Artificial Neural Network);ASR (Automatic Speech Recognition);BN (Bayesian Network);CNN (Convolutional Neural Networks);CVC (Consonant-Vowel-Consonant);DAG (Direct Acyclic Graph);DBN (Dynamic Bayesian Networks);DCT (Discrete Cosine Transformation);DNN (Deep Neural Network);DTW (Dynamic Time wrapping);HMM (Hidden Markov Model);JPD (Joint Probability Distribution);LM (Language Model);LPCC (Linear Predictive Cepstral Coefficients);MFCC (Mel Frequency Cepstral Coefficients);MT (Machine Translation);PD (Punctuation Dictionary);PLP (Perceptual Linear Prediction Coefficient);QV (Quantization Vector);RV (Random Variables);SLT (Spoken Language Translation);SVM (Support Vector Machine);WER (Word Error Rate);WRR (Word Recognition Rate)","Hidden Markov models;Speech;Bayes methods;Time series analysis;Speech recognition;Acoustics;Wrapping","Bayes methods;belief networks;feature extraction;hidden Markov models;language translation;natural language processing;pattern classification;speech processing;speech recognition","automatic speech recognition algorithms;speech processing;digital signal processing;ASR system;Data Time Wrapping;Hidden Markov Model;Dynamic Bayesian Network;Machine Translation system;statistical-based approach;translation approaches;recognition rate;ASR level;translated sentences;feature extraction level;classification technique level;rule-approach;real time speech translation","","2","","43","","11 Jan 2018","","","IEEE","IEEE Conferences"
"Syntax Rectification of Speech Using Neural Machine Translation","J. Singh; S. Pote; A. Karhe; A. Agrawal","Department of Computer Science, CDGI, Indore, India; Data Scientist, Big Data Infomatics, Indore, India; Department of Computer Science, CDGI, Indore, India; Department of Computer Science, CDGI, Indore, India","2018 2nd International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC), 2018 2nd International Conference on","28 Feb 2019","2018","","","306","311","Speech Recognition is the identification of speech and conversion of the audio signals into textual data. The process of Speech Recognition has been accelerated with advancements in computing and progress in the development of Deep Learning. The mathematics behind Speech Recognition stems from Hidden Markov Models and has evolved into its more advanced form - End to End Speech Recognition. The aim of this paper is to focus on the syntax correction of speech in English language which will make use of Sequence to Sequence Models. The paper will delineate three major domains of grammatical correction of speech which will be achieved through real time interaction with the user.","","978-1-5386-1442-6","10.1109/I-SMAC.2018.8653676","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653676","Automatic Speech Recognition;Neural Machine Translation;Sequence to Sequence;Deep Recurrent Neural Networks","Hidden Markov models;Speech recognition;Recurrent neural networks;Training;Conferences;Mathematical model;Probability distribution","audio signal processing;hidden Markov models;language translation;learning (artificial intelligence);neural nets;speech recognition","speech syntax rectification;neural machine translation;audio signal conversion;deep learning;hidden Markov models;end to end speech recognition;English language;sequence to sequence models;speech grammatical correction","","","","25","","28 Feb 2019","","","IEEE","IEEE Conferences"
"A Study of Myanmar (Burmese) to English Machine Translation Performance with Various Myanmar Translated Styles","H. Htun; Y. K. Thu; N. N. Oo; T. Supnithi","Yangon Technological University,Department of Computer Engineering and Information Technology,Yangon,Myanmar; National Electronics and Computer Technology Center (NECTEC),Pathum Thani,Thailand; Yangon Technological University,Department of Computer Engineering and Information Technology,Yangon,Myanmar; National Electronics and Computer Technology Center (NECTEC),Language and Semantic Technology Research Team(LST),Pathum Thani,Thailand","2020 IEEE Conference on Computer Applications(ICCA)","5 Mar 2020","2020","","","1","7","This paper contributes the first investigation of machine translation (MT) performance differences between Myanmar and English languages with the use of several possible Myanmar translations for the specific primary educational domain. We also developed both one to one and many Myanmar translations corpora (over 8K and 34K sentences) based on old and new English textbooks (including Grade 1 to 3) which are published by the Ministry of Education. Our developing parallel corpora were used for phrase-based statistical machine translation (PBSMT) which is the de facto standard of statistical machine translation. We measured machine translation performance differences among one-to-many English to Myanmar translation corpora. The differences range between 19.68 and 52.38 BLEU scores for English to Myanmar and between 50.17 and 75.12 BLEU scores for Myanmar to English translation. We expect this study can be applied in Myanmar-to-English automatic speech recognition (ASR) development for primary English textbooks. The main purpose is to translate primary English textbooks data correctly even if the children use in several Myanmar conversation styles.","","978-1-7281-5925-6","10.1109/ICCA49400.2020.9022851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9022851","Phrase-based Statistical Machine Translation (PBSMT);One to Many Parallel Corpus;Myanmar-English Machine Translation;Primary English Textbooks of Myanmar;Word Error Rate (WER)","Training;Mathematical model;Buildings;Testing;Dictionaries;Information technology","computer aided instruction;language translation;natural language processing;speech recognition","English machine translation performance;machine translation performance differences;English languages;Myanmar translations corpora;phrase-based statistical machine translation;Myanmar translation corpora;English translation;Myanmar-to-English automatic speech recognition development;primary English textbooks data;Myanmar conversation styles;primary educational domain;parallel corpora","","","","23","","5 Mar 2020","","","IEEE","IEEE Conferences"
"Integration of Statistical Models for Dictation of Document Translations in a Machine-Aided Human Translation Task","A. Reddy; R. C. Rose","Dept. of Electr. & Comput. Eng., McGill Univ., Montréal, QC, Canada; Dept. of Electr. & Comput. Eng., McGill Univ., Montréal, QC, Canada","IEEE Transactions on Audio, Speech, and Language Processing","7 Sep 2010","2010","18","8","2015","2027","This paper presents a model for machine-aided human translation (MAHT) that integrates source language text and target language acoustic information to produce the text translation of source language document. It is evaluated on a scenario where a human translator dictates a first draft target language translation of a source language document. Information obtained from the source language document, including translation probabilities derived from statistical machine translation (SMT) and named entity tags derived from named entity recognition (NER), is incorporated with acoustic phonetic information obtained from an automatic speech recognition (ASR) system. One advantage of the system combination used here is that words that are not included in the ASR vocabulary can be correctly decoded by the combined system. The MAHT model and system implementation is presented. It is shown that a relative decrease in word error rate of 29% can be obtained by this combined system relative to the baseline ASR performance on a French to English document translation task in the Hansard domain. In addition, it is shown that transcriptions obtained by using the combined system show a relative increase in NIST score of 34% compared to transcriptions obtained from the baseline ASR system.","1558-7924","","10.1109/TASL.2010.2040793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5393062","Machine-aided human translation (MAHT);machine translation;named entity recognition;speech recognition","Humans;Automatic speech recognition;Natural languages;Surface-mount technology;Decoding;Error analysis;Speech recognition;Acoustic noise;Probability;Vocabulary","language translation;speech recognition;statistical analysis;text analysis","statistical model integration;document translations;machine-aided human translation task;source language text integration;target language acoustic information;text translation;source language document;statistical machine translation;translation probability;named entity tags;named entity recognition;acoustic phonetic information;automatic speech recognition system;ASR vocabulary;MAHT model;word error rate;French to English document translation task;Hansard domain","","13","1","36","","19 Jan 2010","","","IEEE","IEEE Journals"
"Integration of Speech Recognition and Machine Translation in Computer-Assisted Translation","S. Khadivi; H. Ney","Dept. of Comput. Sci., RWTH Aachen Univ., Aachen; Dept. of Comput. Sci., RWTH Aachen Univ., Aachen","IEEE Transactions on Audio, Speech, and Language Processing","21 Oct 2008","2008","16","8","1551","1564","Parallel integration of automatic speech recognition (ASR) models and statistical machine translation (MT) models is an unexplored research area in comparison to the large amount of works done on integrating them in series, i.e., speech-to-speech translation. Parallel integration of these models is possible when we have access to the speech of a target language text and to its corresponding source language text, like a computer-assisted translation system. To our knowledge, only a few methods for integrating ASR models with MT models in parallel have been studied. In this paper, we systematically study a number of different translation models in the context of the N-best list rescoring. As an alternative to the N -best list rescoring, we use ASR word graphs in order to arrive at a tighter integration of ASR and MT models. The experiments are carried out on two tasks: English-to-German with an ASR vocabulary size of 17 K words, and Spanish-to-English with an ASR vocabulary of 58 K words. For the best method, the MT models reduce the ASR word error rate by a relative of 18% and 29% on the 17 K and the 58 K tasks, respectively.","1558-7924","","10.1109/TASL.2008.2004301","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4648933","Computer-assisted translation (CAT);speech recognition;statistical machine translation (MT)","Speech recognition;Automatic speech recognition;Natural languages;Vocabulary;Humans;Concurrent computing;Context modeling;Error analysis;Engines","computational linguistics;graph theory;integration;language translation;speech recognition","machine translation;computer-assisted translation;parallel integration;automatic speech recognition;statistical machine translation models;speech-to-speech translation;source language text;word graphs;English-to-German;Spanish-to-English","","16","","33","","21 Oct 2008","","","IEEE","IEEE Journals"
"Sequential system combination for machine translation of speech","D. Karakos; S. Khudanpur","Center for Language and Speech Processing and Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD 212, USA; Center for Language and Speech Processing and Department of Electrical and Computer Engineering, Johns Hopkins University, Baltimore, MD 212, USA","2008 IEEE Spoken Language Technology Workshop","6 Feb 2009","2008","","","257","260","System combination is a technique which has been shown to yield significant gains in speech recognition and machine translation. Most combination schemes perform an alignment between different system outputs in order to produce lattices (or confusion networks), from which a composite hypothesis is chosen, possibly with the help of a large language model. The benefit of this approach is two-fold: (i) whenever many systems agree with each other on a set of words, the combination output contains these words with high confidence; and (ii) whenever the systems disagree, the language model resolves the ambiguity based on the (probably correct) agreed upon context. The case of machine translation system combination is more challenging because of the different word orders of the translations: the alignment has to incorporate computationally expensive movements of word blocks. In this paper, we show how one can combine translation outputs efficiently, extending the incremental alignment procedure of (A-V.I. Rosti et al., 2008). A comparison between different system combination design choices is performed on an Arabic speech translation task.","","978-1-4244-3471-8","10.1109/SLT.2008.4777889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4777889","Machine Translation;System Combination;Confusion Networks;Alignments with reordering","Speech processing;Speech recognition;Automatic speech recognition;Natural languages;Lattices;Context modeling;Voting;Computer numerical control;Contracts;Sequences","language translation;natural language processing;speech recognition","sequential system combination;speech machine translation;speech recognition;large language model;machine translation system combination;incremental alignment procedure;Arabic speech translation","","2","","17","","6 Feb 2009","","","IEEE","IEEE Conferences"
"Image Semantic Extraction Using Latent Semantic Indexing on Image Retrieval Automatic-Annotation","Y. Herdiyeni; S. Nurdiati; I. A. Daud","Dept. of Comput. Sci., Bogor Agric. Univ., Bogor, Indonesia; Dept. of Comput. Sci., Bogor Agric. Univ., Bogor, Indonesia; Dept. of Comput. Sci., Bogor Agric. Univ., Bogor, Indonesia","2009 International Conference of Soft Computing and Pattern Recognition","31 Dec 2009","2009","","","283","288","This research proposed a new method Latent Semantic Indexing to overcome semantic problem on image retrieval based on automatic image annotation. Statistical machine translation used to automatically annotates the image. This approach considers image annotation as the translation of image regions to words, similar to the translation of text from one language to another. The ""lexicon"" for the translation is learned from large annotated image collections, which consist of images that are associated with text. Images are segmented into regions with grid segmentation. A pre-specified feature vector represents each region. The regions then clustered into a finite set of blobs. The correspondences between the blobs and the words are learned using Expectation Maximization algorithm. These correspondences are used to predict words associated with whole images (auto-annotation). The auto-annotation performance is evaluated using Normalized Score (ENS) algorithm. The experimental results show that the average precision of clause queries achieved best result than word queries, 0.544 and 0.251 for clause queries and word queries respectively. The proposed method of latent semantic indexing succeeds to exploit semantic value of automatic-annotation-based image retrieval.","","978-1-4244-5330-6","10.1109/SoCPaR.2009.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5370355","Content-based image retrieval;automatic annotation;statistical machine translation;latent semantic indexing","Indexing;Image retrieval;Design optimization;Printing;Integer linear programming;Constraint optimization;Testing;Containers;Pattern recognition;Computer applications","content-based retrieval;expectation-maximisation algorithm;image retrieval;image segmentation;information retrieval;language translation","image semantic extraction;latent semantic indexing;image retrieval;automatic image annotation;statistical machine translation;grid segmentation;feature vector;expectation maximization algorithm;normalized score algorithm","","","","6","","31 Dec 2009","","","IEEE","IEEE Conferences"
"Gamayun - Language Technology for Humanitarian Response","A. Öktem; M. A. Jaam; E. DeLuca; G. Tang",Translators without Borders; Translators without Borders; Translators without Borders; Translators without Borders,"2020 IEEE Global Humanitarian Technology Conference (GHTC)","8 Feb 2021","2020","","","1","4","Over half of the world's population do not have access to knowledge and information because it's not available in their language. Translators without Borders (TWB) wants to change this with Gamayun, an initiative to promote language equality. Gamayun uses advanced language technologies to improve communication with people who speak marginalized languages in humanitarian and development contexts. In this paper, we present the early implementation results of the project in building machine translation and automatic speech recognition systems for various marginalized languages.","2377-6919","978-1-7281-7388-7","10.1109/GHTC46280.2020.9342939","Microsoft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342939","language technology;machine translation;automatic speech recognition;low-resource languages","Sociology;Tools;Machine translation;Task analysis;Statistics;Open source software;Automatic speech recognition","language translation;natural language processing;speech recognition","humanitarian response;language equality;language technologies;marginalized languages;humanitarian development contexts;machine translation;Gamayun;Translators without Borders;automatic speech recognition systems","","","","18","","8 Feb 2021","","","IEEE","IEEE Conferences"
