Authors,Title,Year,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Macías, L.P.",Machine translation post-editing in the professional translation market in Spain: A case study on the experience and opinion of professional translators,2018,329,,-328,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85074921763&partnerID=40&md5=9d5bfda9f10ce9b664c5b73ecd6db273,Conference Paper,Scopus,2-s2.0-85074921763
"Do Carmo, F.",Does machine translation really produce translations?,2018,323,,-322,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85074905375&partnerID=40&md5=3c5295276426fdb19bb7c5bd724ba001,Conference Paper,Scopus,2-s2.0-85074905375
"Aziz, W., Specia, L.",PET: A tool for post-editing and assessing machine translation,2012,99,,-98,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85000885376&partnerID=40&md5=3dd6d5a7051a21b627cb98f2b439efed,Conference Paper,Scopus,2-s2.0-85000885376
"Liu, Q., Liu, Y., Mi, H.",Statistical translation model based on source syntax structure,2010,61,,-60,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863880916&partnerID=40&md5=6256a02436f0e1cc59e73349988e3aa6,Article,Scopus,2-s2.0-84863880916
"Toral, A., Sánchez-Cartagena, V., Forcada, M.L.",Final results of Abu-MaTran (automatic building of machine translation),2017,31,,-30,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085047873&partnerID=40&md5=8fbeca083bf04fd393ef926a954992a1,Conference Paper,Scopus,2-s2.0-85085047873
"Epiphantseva, J.",PROMT machine translation for amadeus fare quote notes translator,2017,30,,-29,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085029174&partnerID=40&md5=6670fb6989e3de448af622d8d35beb27,Conference Paper,Scopus,2-s2.0-85085029174
"Germann, U.","Progress in ModernMT, a new open-source machine translation platform for the translation industry",2017,29,,-28,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085002887&partnerID=40&md5=51f893787cf4d8464a473e4ac48ab27d,Conference Paper,Scopus,2-s2.0-85085002887
"Sennrich, R., Barone, A.V.M., Moorkens, J., Castilho, S., Way, A., Gaspari, F., Kordoni, V., Egg, M., Popovic, M., Georgakopoulou, Y., Gialama, M., Van Zaanen, M.",TraMOOC - Translation for massive open online courses: Recent developments in machine translation,2017,27,,-26,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085032334&partnerID=40&md5=d73a0164caf4e68503518e99d58ebfb6,Conference Paper,Scopus,2-s2.0-85085032334
"Klein, G., Kim, Y., Deng, Y., Crego, J., Senellart, J., Rush, A.M.",OpenNMT: Open-source toolkit for neural machine translation,2017,22,,-21,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085038854&partnerID=40&md5=ddf1eb8225c20a870af4742831709831,Conference Paper,Scopus,2-s2.0-85085038854
"Bouillon, P., Girletti, S., Estrella, P., Lafuente, R.","MTTT - Machine translation training tool: A tool to teach MT, evaluation and post-editing",2017,18,,-17,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085040245&partnerID=40&md5=a6d336c4dc3b3ffd2c05dc68bddbfe49,Conference Paper,Scopus,2-s2.0-85085040245
"Abel, S., Swisher, V.",A guide to machine translation,2014,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84912127287&partnerID=40&md5=2a15dbb984dc5487cf79b4029dd04174,Article,Scopus,2-s2.0-84912127287
"Abu Shquier, M., Al Nabhan, M.",Rule-based approach to tackle agreement and word-ordering in english-arabic machine translation,2010,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857526270&partnerID=40&md5=f0a3837a4ede62226932772415b2bf86,Conference Paper,Scopus,2-s2.0-84857526270
"Adjeisah, M., Liu, G., Nyabuga, D.O., Nortey, R.N., Song, J.",Pseudotext Injection and Advance Filtering of Low-Resource Corpus for Neural Machine Translation,2021,,,1,,10.1155/2021/6682385,https://www.scopus.com/inward/record.url?eid=2-s2.0-85105308461&partnerID=40&md5=c6f15efae9cffee703d8b4ea021bd69a,Article,Scopus,2-s2.0-85105308461
"Adji, T.B., Astuti, Y., Kusumawardani, S.S.",Statistical-based machine translation for prepositional phrase using Link Grammar,2011,,,1,2,10.1109/ICEEI.2011.6021644,https://www.scopus.com/inward/record.url?eid=2-s2.0-80054021427&partnerID=40&md5=bf8effc3697023513b03ec34eecc8ee8,Conference Paper,Scopus,2-s2.0-80054021427
"Adriani, M., Framadhan",University of Indonesia participation at image-CLEF 2005,2005,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922032127&partnerID=40&md5=35d8e841afe0e4414e8f13326a28111a,Conference Paper,Scopus,2-s2.0-84922032127
"Adriani, M., Wahyu, I.",University of Indonesia participation at CLIR-CLEF 2005,2005,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922041864&partnerID=40&md5=60f50a794e983f31d9b8f3666a755b9c,Conference Paper,Scopus,2-s2.0-84922041864
"Afzal, Z., Akhondi, S.A., Van Haagen, H.H.H.B.M., Van Mulligen, E.M., Kors, J.A.",Biomedical concept recognition in French text using automatic translation of English terms,2015,,,1,4,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84980459461&partnerID=40&md5=ed016064b8bb4ee57dd84549048360dc,Conference Paper,Scopus,2-s2.0-84980459461
"Aghamohammadi, A., Izadi, M., Heydarnoori, A.",Generating summaries for methods of event-driven programs: An Android case study,2020,,,1,,10.1016/j.jss.2020.110800,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089832552&partnerID=40&md5=3cb0fc514b3cfab5e7e7af122584b6f0,Article,Scopus,2-s2.0-85089832552
"Ahkouk, K., Machkour, M.",Human Language Question To SQL Query Using Deep Learning,2019,,,1,2,10.1109/ICDS47004.2019.8942342,https://www.scopus.com/inward/record.url?eid=2-s2.0-85078316461&partnerID=40&md5=a4412a92ff5c81b31e0467693bb2b6fc,Conference Paper,Scopus,2-s2.0-85078316461
"Ahkouk, K., MacHkour, M., Antari, J.",Inferring SQL Queries Using Interactivity,2020,,,1,,10.1145/3386723.3387820,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085917944&partnerID=40&md5=b4393126dbef4a69555e595bf27ee746,Conference Paper,Scopus,2-s2.0-85085917944
"Ahkouk, K., Machkour, M., Ennaji, M., Erraha, B., Antari, J.",Comparative study of existing approaches on the Task of Natural Language to Database Language,2019,,,1,3,10.1109/ICCSRE.2019.8807785,https://www.scopus.com/inward/record.url?eid=2-s2.0-85072044775&partnerID=40&md5=8e1061f51c9dcd681110681e1e37de2e,Conference Paper,Scopus,2-s2.0-85072044775
"Ahmad, R., Gupta, P., Vuppala, N., Pathak, S.K., Kumar, A., Soni, G., Kumar, S., Shrivastava, M., Singh, A.K., Gangwar, A.K., Kumar, P., Sinha, M.K.",Transzaar: Empowers Human Translators,2018,,,1,,10.1109/ICCSA.2018.8439292,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062829072&partnerID=40&md5=27716bac0ec456cf65f479fd8b8ead6c,Conference Paper,Scopus,2-s2.0-85062829072
"Ahmadnia, B.",Linked data effectiveness in neural machine translation,2020,,,1,,10.1145/3440084.3441214,https://www.scopus.com/inward/record.url?eid=2-s2.0-85101670112&partnerID=40&md5=1c58b7f666ad053700c2e109bfd45ea8,Conference Paper,Scopus,2-s2.0-85101670112
"Ahmed, R., Hasan, M.A., Selim, D.M.R.",Aligning Sentences in English-Bengali Corpora,2018,,,1,1,10.1109/IC4ME2.2018.8465608,https://www.scopus.com/inward/record.url?eid=2-s2.0-85055890227&partnerID=40&md5=2df78b42d3bdc202f7f293027d2121b7,Conference Paper,Scopus,2-s2.0-85055890227
"Akash, S.S., Kabiraz, S., Islam, S.A., Siddique, S.A., Huda, M.N., Alam, I.",A Real Time Approach for Bangla Text Extraction and Translation from Traffic Sign,2019,,,1,,10.1109/ICCITECHN.2018.8631966,https://www.scopus.com/inward/record.url?eid=2-s2.0-85062863362&partnerID=40&md5=053fb3f2c6d2c8930cf9586b39e07f4b,Conference Paper,Scopus,2-s2.0-85062863362
"Akter, M., Shahidur Rahman, M., Zafar Iqbal, M., Reza Selim, M.",A Review of Statistical and Neural Network Based Hybrid Machine Translators,2018,,,1,1,10.1109/ICBSLP.2018.8554792,https://www.scopus.com/inward/record.url?eid=2-s2.0-85060027662&partnerID=40&md5=5a8b5ae95313ec5f56bffe6d38d64f39,Conference Paper,Scopus,2-s2.0-85060027662
"Alabau, V., Ortiz-Martínez, D., Sanchis, A., Casacuberta, F.",Multimodal interactive machine translation,2010,,,1,3,10.1145/1891903.1891960,https://www.scopus.com/inward/record.url?eid=2-s2.0-78650962605&partnerID=40&md5=77e9389fdec0854108022ea86e744cd2,Conference Paper,Scopus,2-s2.0-78650962605
"Alawneh, M.F., Sembok, T.M., Mohd, M.",Grammar-based and example-based techniques in machine translation from English to Arabic,2013,,,1,,10.1109/ICT4M.2013.6518910,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879038804&partnerID=40&md5=c7b05ddab46742afdd96fae98aa10c17,Conference Paper,Scopus,2-s2.0-84879038804
"Alegria, I., Casillas, A., De Ilarraza, A.D., Igartua, J., Labaka, G., Lersundi, M., Mayor, A., Sarasola, K.",Spanish-to-Basque multiEngine machine translation for a restricted domain,2008,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84858063926&partnerID=40&md5=959d24fb378d8843bf1f9337d23fb5f0,Conference Paper,Scopus,2-s2.0-84858063926
