Item Title,Item DOI,Publication Year,URL,Content Type,Source
Machine Translation: Technologies and Applications,,,http://link.springer.com/bookseries/15798,BookSeries,Springer
Machine Translation with Minimal Reliance on Parallel Resources,10.1007/978-3-319-63107-3,2017,http://link.springer.com/book/10.1007/978-3-319-63107-3,Book,Springer
Recent Advances in Example-Based Machine Translation,10.1007/978-94-010-0181-6,2003,http://link.springer.com/book/10.1007/978-94-010-0181-6,Book,Springer
Handbook of Natural Language Processing and Machine Translation,10.1007/978-1-4419-7713-7,2011,http://link.springer.com/book/10.1007/978-1-4419-7713-7,Book,Springer
Joint Training for Neural Machine Translation,10.1007/978-981-32-9748-7,2019,http://link.springer.com/book/10.1007/978-981-32-9748-7,Book,Springer
Machine Translation and the Lexicon,10.1007/3-540-59040-4,1995,http://link.springer.com/book/10.1007/3-540-59040-4,Book,Springer
Machine Translation,10.1007/978-0-387-72774-5,2009,http://link.springer.com/book/10.1007/978-0-387-72774-5,Book,Springer
Translation Engines: Techniques for Machine Translation,10.1007/978-1-4471-0587-9,1999,http://link.springer.com/book/10.1007/978-1-4471-0587-9,Book,Springer
Machine Translation: From Research to Real Users,10.1007/3-540-45820-4,2002,http://link.springer.com/book/10.1007/3-540-45820-4,Book,Springer
Using Comparable Corpora for Under-Resourced Areas of Machine Translation,10.1007/978-3-319-99004-0,2019,http://link.springer.com/book/10.1007/978-3-319-99004-0,Book,Springer
Envisioning Machine Translation in the Information Future,10.1007/3-540-39965-8,2000,http://link.springer.com/book/10.1007/3-540-39965-8,Book,Springer
Machine Translation,,,http://link.springer.com/journal/10590,Journal,Springer
Machine Translation,10.1007/978-981-33-6162-1,2020,http://link.springer.com/book/10.1007/978-981-33-6162-1,Book,Springer
Machine Translation and the Information Soup,10.1007/3-540-49478-2,1998,http://link.springer.com/book/10.1007/3-540-49478-2,Book,Springer
Machine Translation,10.1007/978-981-13-3083-4,2019,http://link.springer.com/book/10.1007/978-981-13-3083-4,Book,Springer
Machine Translation,10.1007/978-3-662-45701-6,2014,http://link.springer.com/book/10.1007/978-3-662-45701-6,Book,Springer
Machine Translation,10.1007/978-981-15-1721-1,2019,http://link.springer.com/book/10.1007/978-981-15-1721-1,Book,Springer
Hybrid Approaches to Machine Translation,10.1007/978-3-319-21311-8,2016,http://link.springer.com/book/10.1007/978-3-319-21311-8,Book,Springer
