"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VD3J8YYY","conferencePaper","2012","Hunsicker, Sabine; Yu, Chen; Federmann, Christian","Machine Learning for Hybrid Machine Translation","Proceedings of the Seventh Workshop on Statistical Machine Translation","","","","","We describe a substitution-based system for hybrid machine translation (MT) that has been extended with machine learning components controlling its phrase selection. The approach is based on a rule-based MT (RBMT) system which creates template translations. Based on the rule-based generation parse tree and target-to-target alignments, we identify the set of ""interesting"" translation candidates from one or more translation engines which could be substituted into our translation templates. The substitution process is either controlled by the output from a binary classifier trained on feature vectors from the different MT engines, or it is depending on weights for the decision factors, which have been tuned using MERT. We are able to observe improvements in terms of BLEU scores over a baseline version of the hybrid system.","2012","2021-06-23 11:36:56","2021-06-23 11:36:56","","312–316","","","","","","","WMT '12","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Montreal, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9WY9B2L","conferencePaper","2010","Alabau, Vicent; Ortiz-Martínez, Daniel; Sanchis, Alberto; Casacuberta, Francisco","Multimodal Interactive Machine Translation","International Conference on Multimodal Interfaces and the Workshop on Machine Learning for Multimodal Interaction","978-1-4503-0414-6","","10.1145/1891903.1891960","https://doi.org/10.1145/1891903.1891960","Interactive machine translation (IMT) [1] is an alternative approach to machine translation, integrating human expertise into the automatic translation process. In this framework, a human iteratively interacts with a system until the output desired by the human is completely generated. Traditionally, interaction has been performed using a keyboard and a mouse. However, the use of touchscreens has been popularised recently. Many touchscreen devices already exist in the market, namely mobile phones, laptops and tablet computers like the iPad. In this work, we propose a new interaction modality to take advantage of such devices, for which online handwritten text seems a very natural way of input. Multimodality is formulated as an extension to the traditional IMT protocol where the user can amend errors by writing text with an electronic pen or a stylus on a touchscreen. Different approaches to modality fusion have been studied. In addition, these approaches have been assessed on the Xerox task. Finally, a thorough study of the errors committed by the online handwritten system will show future work directions.","2010","2021-06-23 11:36:57","2021-06-23 11:36:57","","","","","","","","","ICMI-MLMI '10","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Beijing, China","","","","interactive machine translation; interactive pattern recognition; multimodality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQGVFN4G","journalArticle","2011","Karimi, Sarvnaz; Scholer, Falk; Turpin, Andrew","Machine Transliteration Survey","ACM Comput. Surv.","","0360-0300","10.1145/1922649.1922654","https://doi.org/10.1145/1922649.1922654","Machine transliteration is the process of automatically transforming the script of a word from a source language to a target language, while preserving pronunciation. The development of algorithms specifically for machine transliteration began over a decade ago based on the phonetics of source and target languages, followed by approaches using statistical and language-specific methods. In this survey, we review the key methodologies introduced in the transliteration literature. The approaches are categorized based on the resources and algorithms used, and the effectiveness is compared.","2011-04","2021-06-23 11:36:58","2021-06-23 11:36:58","","","","3","43","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","Automatic translation; machine learning; machine transliteration; natural language processing; transliteration evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRT56GSH","journalArticle","2010","Kumaran, A.; Khapra, Mitesh M.; Bhattacharyya, Pushpak","Compositional Machine Transliteration","ACM Transactions on Asian Language Information Processing","","1530-0226","10.1145/1838751.1838752","https://doi.org/10.1145/1838751.1838752","Machine transliteration is an important problem in an increasingly multilingual world, as it plays a critical role in many downstream applications, such as machine translation or crosslingual information retrieval systems. In this article, we propose compositional machine transliteration systems, where multiple transliteration components may be composed either to improve existing transliteration quality, or to enable transliteration functionality between languages even when no direct parallel names corpora exist between them. Specifically, we propose two distinct forms of composition: serial and parallel. Serial compositional system chains individual transliteration components, say, X → Y and Y → Z systems, to provide transliteration functionality, X → Z. In parallel composition evidence from multiple transliteration paths between X → Z are aggregated for improving the quality of a direct system. We demonstrate the functionality and performance benefits of the compositional methodology using a state-of-the-art machine transliteration framework in English and a set of Indian languages, namely, Hindi, Marathi, and Kannada. Finally, we underscore the utility and practicality of our compositional approach by showing that a CLIR system integrated with compositional transliteration systems performs consistently on par with, and sometimes better than, that integrated with a direct transliteration system.","2010-12","2021-06-23 11:36:58","2021-06-23 11:36:58","","","","4","9","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","compositional machine transliteration; crosslingual information retrieval; Machine transliteration; multiple evidence; resource reusage; transliterability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DICE4MJW","conferencePaper","2012","Federmann, Christian","Can Machine Learning Algorithms Improve Phrase Selection in Hybrid Machine Translation?","Proceedings of the Joint Workshop on Exploiting Synergies between Information Retrieval and Machine Translation (ESIRMT) and Hybrid Approaches to Machine Translation (HyTra)","978-1-937284-19-0","","","","We describe a substitution-based, hybrid machine translation (MT) system that has been extended with a machine learning component controlling its phrase selection. Our approach is based on a rule-based MT (RBMT) system which creates template translations. Based on the generation parse tree of the RBMT system and standard word alignment computation, we identify potential ""translation snippets"" from one or more translation engines which could be substituted into our translation templates. The substitution process is controlled by a binary classifier trained on feature vectors from the different MT engines. Using a set of manually annotated training data, we are able to observe improvements in terms of BLEU scores over a baseline version of the hybrid system.","2012","2021-06-23 11:36:59","2021-06-23 11:36:59","","113–118","","","","","","","EACL 2012","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Avignon, France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY76WFVR","conferencePaper","2021","Huang, Li; Chen, Wenyu; Qu, Hong","Accelerating Transformer for Neural Machine Translation","2021 13th International Conference on Machine Learning and Computing","978-1-4503-8931-0","","10.1145/3457682.3457711","https://doi.org/10.1145/3457682.3457711","Neural Machine Translation (NMT) models based on Transformer achieve promising progress in both translation quality and training speed. Such a strong framework adopts parallel structures that greatly improve the decoding speed without losing quality. However, due to the self-attention network in decoder that cannot maintain the parallelization under the auto-regressive scheme, the Transformer did not enjoy the same speed performance as training when inference. In this work, with simplicity and feasibility in mind, we introduce a gated cumulative attention network to replace the self-attention part in Transformer decoder to maintain the parallelization property in the inference phase. The gated cumulative attention network includes two sub-layers, a gated linearly cumulative layer that creates the relationship between already predicted tokens and current representation, and a feature fusion layer that enhances the representation with a feature fusion operation. The proposed method was evaluated on WMT17 datasets with 12 language pair groups. Experimental results show the effectiveness of the proposed method and also demonstrated that the proposed gated cumulative attention network has adequate ability as an alternative to the self-attention part in the Transformer decoder.","2021","2021-06-23 11:36:59","2021-06-23 11:36:59","","191–197","","","","","","","ICMLC 2021","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Shenzhen, China","","","","Machine Translation; Natural Language Processing; Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRKD98YS","conferencePaper","2020","Phan, Hung; Jannesari, Ali","Statistical Machine Translation Outperforms Neural Machine Translation in Software Engineering: Why and How","Proceedings of the 1st ACM SIGSOFT International Workshop on Representation Learning for Software Engineering and Program Languages","978-1-4503-8125-3","","10.1145/3416506.3423576","https://doi.org/10.1145/3416506.3423576","Neural Machine Translation (NMT) is the current trend approach in Natural Language Processing (NLP) to solve the problem of auto- matically inferring the content of target language given the source language. The ability of NMT is to learn deep knowledge inside lan- guages by deep learning approaches. However, prior works show that NMT has its own drawbacks in NLP and in some research problems of Software Engineering (SE). In this work, we provide a hypothesis that SE corpus has inherent characteristics that NMT will confront challenges compared to the state-of-the-art translation engine based on Statistical Machine Translation. We introduce a problem which is significant in SE and has characteristics that challenges the abil- ity of NMT to learn correct sequences, called Prefix Mapping. We implement and optimize the original SMT and NMT to mitigate those challenges. By the evaluation, we show that SMT outperforms NMT for this research problem, which provides potential directions to optimize the current NMT engines for specific classes of parallel corpus. By achieving the accuracy from 65% to 90% for code tokens generation of 1000 Github code corpus, we show the potential of using MT for code completion at token level.","2020","2021-06-23 11:37:00","2021-06-23 11:37:00","","3–12","","","","","","","RL+SE&amp;PL 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual, USA","","","","Neural Machine Translation; Statistical Machine Translation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8WH22PS","conferencePaper","2007","Chen, Yu; Eisele, Andreas; Federmann, Christian; Hasler, Eva; Jellinghaus, Michael; Theison, Silke","Multi-Engine Machine Translation with an Open-Source Decoder for Statistical Machine Translation","Proceedings of the Second Workshop on Statistical Machine Translation","","","","","We describe an architecture that allows to combine statistical machine translation (SMT) with rule-based machine translation (RBMT) in a multi-engine setup. We use a variant of standard SMT technology to align translations from one or more RBMT systems with the source text. We incorporate phrases extracted from these alignments into the phrase table of the SMT system and use the open-source decoder Moses to find good combinations of phrases from SMT training data with the phrases derived from RBMT. First experiments based on this hybrid architecture achieve promising results.","2007","2021-06-23 11:37:01","2021-06-23 11:37:01","","193–196","","","","","","","StatMT '07","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Prague, Czech Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBQCT9QN","journalArticle","2008","Lopez, Adam","Statistical Machine Translation","ACM Comput. Surv.","","0360-0300","10.1145/1380584.1380586","https://doi.org/10.1145/1380584.1380586","Statistical machine translation (SMT) treats the translation of natural language as a machine learning problem. By examining many samples of human-produced translation, SMT algorithms automatically learn how to translate. SMT has made tremendous strides in less than two decades, and new ideas are constantly introduced. This survey presents a tutorial overview of the state of the art. We describe the context of the current research and then move to a formal problem description and an overview of the main subproblems: translation modeling, parameter estimation, and decoding. Along the way, we present a taxonomy of some different approaches within these areas. We conclude with an overview of evaluation and a discussion of future directions.","2008-08","2021-06-23 11:37:01","2021-06-23 11:37:01","","","","3","40","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","machine translation; Natural language processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAR9JUE6","journalArticle","2011","Ni, Yizhao; Saunders, Craig; Szedmak, Sandor; Niranjan, Mahesan","Exploitation of Machine Learning Techniques in Modelling Phrase Movements for Machine Translation","J. Mach. Learn. Res.","","1532-4435","","","We propose a distance phrase reordering model (DPR) for statistical machine translation (SMT), where the aim is to learn the grammatical rules and context dependent changes using a phrase reordering classification framework. We consider a variety of machine learning techniques, including state-of-the-art structured prediction methods. Techniques are compared and evaluated on a Chinese-English corpus, a language pair known for the high reordering characteristics which cannot be adequately captured with current models. In the reordering classification task, the method significantly outperforms the baseline against which it was tested, and further, when integrated as a component of the state-of-the-art machine translation system, MOSES, it achieves improvement in translation results.","2011-02","2021-06-23 11:37:01","2021-06-23 11:37:01","","1–30","","null","12","","","","","","","","","","","","","","","","","Publisher: JMLR.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
