"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"33L6ZYBH","journalArticle","2021","Nguyen, L.H.B.; Minh, H.D.; Dinh, D.; Le Manh, T.","Improving neural machine translation with POS tags","ICIC Express Letters, Part B: Applications","","","10.24507/icicelb.12.01.91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098658898&doi=10.24507%2ficicelb.12.01.91&partnerID=40&md5=63c6dcee53c0092b13800eb380fa2088","Neural Machine Translation (NMT) has certain capability to implicitly learn semantic and syntactic aspects of the language. However, recently there have been also attempts to add linguistic annotation into neural translation models, and steps towards more linguistically motivated models. This paper presents an extension of NMT model to incorporate additional Part-of-Speech (POS) tags into the attention mechanism effectively to yield further improvements. The context vector produced by source annotations and target hidden state is used for target POS tagging. Then, we improve word prediction by simultaneously utilizing the context vector from attention layer and the predicted target POS tags. Evaluating on translating between English and Vietnamese in two directions with a low resource setting in the domain of TED talks, we obtain promising results in BLEU scores over baseline methods. © ICIC International.","2021","2021-02-07 01:17:10","2021-02-07 01:17:10","","91-98","","1","12","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","Attention model; Neural machine translation; Part-of-speech; Recurrent neural network; Sequence to sequence model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHV768VU","journalArticle","2021","Nguyen, T.; Nguyen, T.; Nguyen, H.; Tran, P.","Transformer encoders incorporating word translation for russian-vietnamese machine translation","ICIC Express Letters, Part B: Applications","","","10.24507/icicelb.12.01.35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098622833&doi=10.24507%2ficicelb.12.01.35&partnerID=40&md5=1df1e9b676d796a4dc5083a98944afa9","Neural machine translation systems including the latest Transformer models represent translation units in the form of embeddings – vectors of real numbers. Such continuous representations of translation units lead to smoother translation results, but do not always guarantee better results due to wrong word translations, compared to statistical machine translation systems. Moreover, for low-resource language pairs, such as Russian-Vietnamese, the errors of word translations in neural machine translation systems are more aggravated. In order to solve the problem, we try different ways of con-catenating source word embeddings with embeddings of their corresponding word transla-tions, when building a Transformer-based translation system for the Russian-Vietnamese language pair. As a result, we create two novel Transformer models: Transformer with Long Encoder and Transformer with Short Encoder. In the Transformer with Long Encoder source word embedding and translation embedding of single size are concatenated to form a vector of double size. The Long Encoder reduces the size of the concatenated embedding to single size with a linear layer, and then adds it with positional embedding of the source word to create a final embedding. The Short Encoder resembles the Long Encoder except for the linear layer. Instead, the Short Encoder creates word embedding and translation embedding of half-size, and then concatenates them to form a concatenated embedding of single size. The experimental results show that the proposed models provide better translation quality compared to the baseline Transformer model. © 2020 Global Research Online. All rights reserved.","2021","2021-02-07 01:17:12","2021-02-07 01:17:12","","35-42","","1","12","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","Neural machine transla-tion; Neural networks; Russian-Vietnamese machine translation; Transformer; Word translation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBLCFZXV","journalArticle","2020","Li, Z.; Qu, D.; Xie, C.; Zhang, W.; Li, Y.","Language Model Pre-training Method in Machine Translation Based on Named Entity Recognition","International Journal on Artificial Intelligence Tools","","","10.1142/S0218213020400217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097109166&doi=10.1142%2fS0218213020400217&partnerID=40&md5=5a89c37686355e6e2585d1e06963fcfd","Neural Machine Translation (NMT) model has become the mainstream technology in machine translation. The supervised neural machine translation model trains with abundant of sentence-level parallel corpora. But for low-resources language or dialect with no such corpus available, it is difficult to achieve good performance. Researchers began to focus on unsupervised neural machine translation (UNMT) that monolingual corpus as training data. UNMT need to construct the language model (LM) which learns semantic information from the monolingual corpus. This paper focuses on the pre-training of LM in unsupervised machine translation and proposes a pre-training method, NER-MLM (named entity recognition masked language model). Through performing NER, the proposed method can obtain better semantic information and language model parameters with better training results. In the unsupervised machine translation task, the BLEU scores on the WMT'16 English-French, English-German, data sets are 35.30, 27.30 respectively. To the best of our knowledge, this is the highest results in the field of UNMT reported so far. © 2020 World Scientific Publishing Company.","2020","2021-02-07 01:17:13","2021-02-07 01:17:13","","","","7-8","29","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","language model; named entity recognition; Unsupervised machine translation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQVKB4CF","journalArticle","2020","Zhang, T.; Huang, H.; Feng, C.; Wei, X.","Similarity-aware neural machine translation: reducing human translator efforts by leveraging high-potential sentences with translation memory","Neural Computing and Applications","","","10.1007/s00521-020-04939-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084360589&doi=10.1007%2fs00521-020-04939-y&partnerID=40&md5=a5d9f6d09ad60d27dc6ace9f9be6beb2","In computer-aided translation tasks, reducing the time of reviewing and post-editing on translations is meaningful for human translators. However, existing studies mainly aim to improve overall translation quality, which only reduces post-editing time. In this work, we firstly identify testing sentences which are highly similar to training set (high-potential sentences) to reduce reviewing time, then we focus on improving corresponding translation quality greatly to reduce post-editing time. From this point, we firstly propose two novel translation memory methods to characterize similarity between sentences on syntactic and template dimensions separately. Based on that, we propose a similarity-aware neural machine translation (similarity-NMT) which consists of two independent modules: (1) Identification Module, which can identify high-potential sentences of testing set according to multi-dimensional similarity information; (2) Translation Module, which can integrate multi-dimensional similarity information of parallel training sentence pairs into an attention-based NMT model by leveraging posterior regularization. Experiments on two Chinese ⇒ English domains have well-validated the effectiveness and universality of the proposed method of reducing human translator efforts. © 2020, Springer-Verlag London Ltd., part of Springer Nature.","2020","2021-02-07 01:17:15","2021-02-07 01:17:15","","17623-17635","","23","32","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","High-potential sentences; Human translator efforts; Neural machine translation; Translation memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3US56BH","conferencePaper","2020","Gupta, S.; He, P.; Meister, C.; Su, Z.","Machine translation testing via pathological invariance","","","","10.1145/3368089.3409756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097132670&doi=10.1145%2f3368089.3409756&partnerID=40&md5=1a7411cb36b1832b93598876ae5c9917","Machine translation software has become heavily integrated into our daily lives due to the recent improvement in the performance of deep neural networks. However, machine translation software has been shown to regularly return erroneous translations, which can lead to harmful consequences such as economic loss and political conflicts. Additionally, due to the complexity of the underlying neural models, testing machine translation systems presents new challenges. To address this problem, we introduce a novel methodology called PatInv. The main intuition behind PatInv is that sentences with different meanings should not have the same translation. Under this general idea, we provide two realizations of PatInv that given an arbitrary sentence, generate syntactically similar but semantically different sentences by: (1) replacing one word in the sentence using a masked language model or (2) removing one word or phrase from the sentence based on its constituency structure. We then test whether the returned translations are the same for the original and modified sentences. We have applied PatInv to test Google Translate and Bing Microsoft Translator using 200 English sentences. Two language settings are considered: English-Hindi (En-Hi) and English-Chinese (En-Zh). The results show that PatInv can accurately find 308 erroneous translations in Google Translate and 223 erroneous translations in Bing Microsoft Translator, most of which cannot be found by the state-of-the-art approaches. © 2020 ACM.","2020","2021-02-07 01:17:16","2021-02-07 01:17:16","","863-875","","","","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","Machine translation; Pathological Invariance; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","","","","","","","","","","","","","",""
"GP5YK4DF","journalArticle","2020","Ameur, M.S.H.; Meziane, F.; Guessoum, A.","Arabic Machine Translation: A survey of the latest trends and challenges","Computer Science Review","","","10.1016/j.cosrev.2020.100305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097497664&doi=10.1016%2fj.cosrev.2020.100305&partnerID=40&md5=790f6fc0871195b53e4dd59addf255f8","Given that Arabic is one of the most widely used languages in the world, the task of Arabic Machine Translation (MT) has recently received a great deal of attention from the research community. Indeed, the amount of research that has been devoted to this task has led to some important achievements and improvements. However, the current state of Arabic MT systems has not reached the quality achieved for some other languages. Thus, much research work is still needed to improve it. This survey paper introduces the Arabic language, its characteristics, and the challenges involved in its translation. It provides the reader with a full summary of the important research studies that have been accomplished with regard to Arabic MT along with the most important tools and resources that are available for building and testing new Arabic MT systems. Furthermore, the survey paper discusses the current state of Arabic MT and provides some insights into possible future research directions. © 2020 Elsevier Inc.","2020","2021-02-07 01:17:18","2021-02-07 01:17:18","","","","","38","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 7 February 2021</p>","","","","Arabic language; Arabic Machine Translation; Deep learning; Machine Translation; Natural language processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMWHB9ZA","journalArticle","2020","Singh, M.; Kumar, R.; Chana, I.","A forefront to machine translation technology: deployment on the cloud as a service to enhance QoS parameters","Soft Computing","","","10.1007/s00500-020-04923-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084001416&doi=10.1007%2fs00500-020-04923-7&partnerID=40&md5=d544b1e1e205a0bd5b74709f0d136fe3","Machine translation system (MTS) constitutes of functionally heterogeneous modules for processing source language to a given target language. Deploying such an application on a stand-alone system requires much time, knowledge and complications. It even becomes more challenging for a common user to utilize such a complex application. This paper presents a MTS that has been developed using a combination of linguistic rich, rule-based and prominent neural-based approach. The proposed MTS is deployed on the cloud to offer translation as a cloud service and improve the quality of service (QoS) from a stand-alone system. It is developed on TensorFlow and deployed under the cluster of virtual machines in the Amazon web server (EC2). The significance of this paper is to demonstrate management of recurrent changes in term of corpus, domain, algorithm and rules. Further, the paper also compares the MTS as deployed on stand-alone machine and on cloud for different QoS parameters like response time, server load, CPU utilization and throughput. The experimental results assert that in the translation task, with the availability of elastic computing resources in the cloud environment, the job completion time irrespective of its size can be assured to be within a fixed time limit with high accuracy. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.","2020","2021-02-07 01:17:19","2021-02-07 01:17:19","","16057-16079","","21","24","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","Amazon web server; Elastic computing unit; Machine translation system; Quality of service","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNTIFLBL","conferencePaper","2020","Reis, L.S.; De Araújo, T.M.U.; Aguiar, Y.P.C.; Lima, M.A.C.B.","Evaluating machine translation systems for Brazilian sign language in the treatment of critical grammatical aspects","","","","10.1145/3424953.3426536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099706013&doi=10.1145%2f3424953.3426536&partnerID=40&md5=14f357a2c708362b66655faee255b1c3","Machine translation tools for sign languages are developed with the aim of reducing barriers to access to information for deaf people. However, these technologies have some limitations related to the difficulty of dealing with some specific grammatical aspects of sign languages, which can negatively influence the experience of deaf users. In order to analyze this problem, in this study, we assess the translation of Brazilian Portuguese (Pt-br) content into Brazilian Sign Language (Libras) by three machine translators: HandTalk, Rybená and VLibras. More specifically, we conducted an experiment with 30 Brazilian human interpreters that evaluate the treatment of 7 specific grammatical aspects in the applications. As a result, we observed significant important limitation in the treatment of homonyms, adverbs (negation, mode and intensity), directional verbs, and phrases (interrogative and exclamatory) in the translations performed by these applications, indicating the need for them to improve the treatment of these grammatical aspects. © 2020 ACM.","2020","2021-02-07 01:17:20","2021-02-07 01:17:20","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","accessibility; brazilian sign language (Libras); deaf user; machine translation; quality of translation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IHC 2020 - Proceedings of the 19th Brazilian Symposium on Human Factors in Computing Systems","","","","","","","","","","","","","","",""
"XVJPUW4Q","conferencePaper","2020","Hardin, A.R.; Ito, J.; Sasaki, A.","Writing for human and machine translation: Best practices for technical writers","","","","10.1145/3380851.3416741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094941434&doi=10.1145%2f3380851.3416741&partnerID=40&md5=c5c4e9d2e4cefb4bba9252778c111d13","The Red Hat Localization Services team translates technical product documentation from English to other languages required for Red Hat customers. Translators from Localization Services collaborate with Red Hat technical writers to clarify statements in the documentation and answer technical questions related to the documentation as they translate content. This industry insight report examines the team's translation workflow and explores how the machine translation technology used by the Localization Services team impacts the translation progress, for better and for worse. We take a closer look at how this intersection of technology and design both limits and enhances the documentation design and translation processes. This report also examines the role of the technical writer in the translation process, how the writer's documentation design decisions impact the machine translation process, and how the writer should be influenced by the translation process as a whole. This report discusses several methods that can be used by technical writers to write clear and concise content for both human and machine translation. Taking a proactive approach to writing for a global audience makes the translations process more efficient and increases content quality. © 2020 ACM.","2020","2021-02-07 01:17:21","2021-02-07 01:17:21","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 7 February 2021</p>","","","","Localization; Machine translation; Product documentation; Technical communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGDOC 2020 - Proceedings of the 38th ACM International Conference on Design of Communication","","","","","","","","","","","","","","",""
"SM6MEPNL","journalArticle","2020","Dabre, R.; Chu, C.; Kunchukuttan, A.","A Survey of Multilingual Neural Machine Translation","ACM Computing Surveys","","","10.1145/3406095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094321022&doi=10.1145%2f3406095&partnerID=40&md5=f8de2b60d0d4cdfa625737d76e46647b","We present a survey on multilingual neural machine translation (MNMT), which has gained a lot of traction in recent years. MNMT has been useful in improving translation quality as a result of translation knowledge transfer (transfer learning). MNMT is more promising and interesting than its statistical machine translation counterpart, because end-to-end modeling and distributed representations open new avenues for research on machine translation. Many approaches have been proposed to exploit multilingual parallel corpora for improving translation quality. However, the lack of a comprehensive survey makes it difficult to determine which approaches are promising and, hence, deserve further exploration. In this article, we present an in-depth survey of existing literature on MNMT. We first categorize various approaches based on their central use-case and then further categorize them based on resource scenarios, underlying modeling principles, core-issues, and challenges. Wherever possible, we address the strengths and weaknesses of several techniques by comparing them with each other. We also discuss the future directions for MNMT. This article is aimed towards both beginners and experts in NMT. We hope this article will serve as a starting point as well as a source of new ideas for researchers and engineers interested in MNMT. © 2020 Owner/Author.","2020","2021-02-07 01:17:23","2021-02-07 01:17:23","","","","5","53","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :1</p>; <p>Export Date: 7 February 2021</p>","","","","low-resource; multi-source; multilingualism; Neural machine translation; survey; zero-shot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
