Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Machine Translation: Technologies and Applications","","Machine Translation: Technologies and Applications","","","","","","http://link.springer.com/bookseries/15798","BookSeries"
"Machine Translation","","","","","10.1007/978-0-387-72774-5","Yorick Wilks","2009","http://link.springer.com/book/10.1007/978-0-387-72774-5","Book"
"Machine Translation with Minimal Reliance on Parallel Resources","SpringerBriefs in Statistics","","","","10.1007/978-3-319-63107-3","Dr. George TambouratzisDr. Marina VassiliouDr. Sokratis Sofianopoulos","2017","http://link.springer.com/book/10.1007/978-3-319-63107-3","Book"
"Recent Advances in Example-Based Machine Translation","Text, Speech and Language Technology","","","","10.1007/978-94-010-0181-6","Michael CarlAndy Way","2003","http://link.springer.com/book/10.1007/978-94-010-0181-6","Book"
"Handbook of Natural Language Processing and Machine Translation","","","","","10.1007/978-1-4419-7713-7","Joseph OliveCaitlin ChristiansonJohn McCary","2011","http://link.springer.com/book/10.1007/978-1-4419-7713-7","Book"
"Joint Training for Neural Machine Translation","Springer Theses","","","","10.1007/978-981-32-9748-7","Dr. Yong Cheng","2019","http://link.springer.com/book/10.1007/978-981-32-9748-7","Book"
"Machine Translation and the Lexicon","Lecture Notes in Computer Science","","","","10.1007/3-540-59040-4","Petra Steffens","1995","http://link.springer.com/book/10.1007/3-540-59040-4","Book"
"Translation Engines: Techniques for Machine Translation","Applied Computing","","","","10.1007/978-1-4471-0587-9","Arturo Trujillo BSc, MPhil PhD","1999","http://link.springer.com/book/10.1007/978-1-4471-0587-9","Book"
"Machine Translation: From Research to Real Users","Lecture Notes in Computer Science","","","","10.1007/3-540-45820-4","Stephen D. Richardson","2002","http://link.springer.com/book/10.1007/3-540-45820-4","Book"
"Using Comparable Corpora for Under-Resourced Areas of Machine Translation","Theory and Applications of Natural Language Processing","","","","10.1007/978-3-319-99004-0","Inguna SkadiņaRobert GaizauskasProf. Dr. Bogdan BabychNikola LjubešićDan TufişAndrejs Vasiļjevs","2019","http://link.springer.com/book/10.1007/978-3-319-99004-0","Book"
"Envisioning Machine Translation in the Information Future","Lecture Notes in Computer Science","","","","10.1007/3-540-39965-8","John S. White","2000","http://link.springer.com/book/10.1007/3-540-39965-8","Book"
