Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,asymmetric,0.91,0.26773757
75% Corpus,3,asymmetric,0.91,0.309972703
100% Corpus,4,asymmetric,0.91,0.35452481
100% Corpus,5,asymmetric,0.91,0.357060537
100% Corpus,6,asymmetric,0.91,0.400436581
75% Corpus,7,asymmetric,0.91,0.4154729
100% Corpus,8,asymmetric,0.91,0.417313018
100% Corpus,9,asymmetric,0.61,0.431456782
100% Corpus,10,asymmetric,0.91,0.439829973
100% Corpus,11,asymmetric,0.91,0.477212008
100% Corpus,12,asymmetric,0.61,0.439216694
100% Corpus,13,asymmetric,0.91,0.451752551
100% Corpus,14,asymmetric,0.61,0.461782557
100% Corpus,15,asymmetric,0.61,0.474516471
75% Corpus,16,0.61,symmetric,0.479355361
100% Corpus,17,0.31,symmetric,0.472057083
100% Corpus,18,0.61,symmetric,0.48904048
75% Corpus,19,0.01,0.91,0.500060313
